Step,Start concentration,Episode,Aeration_Time,Post_Aeration_Concentration,Input concentration,Reward,Average_predict_concentration
1,0,1,900,0.066284073,31,0,0
2,1.291666667,2,900,0.069543825,31,0,0
3,1.358312832,3,358,0.069704135,31,-0.403963178,0.1012
4,1.358466462,4,11,0.545653849,31,-0.117987312,0.5142
5,1.814584939,5,447,1.624269665,31,-0.175637439,1.5927
6,2.848258429,6,41,0.943968139,31,9.754693985,0.9755
7,2.1963028,7,125,1.751585378,31,-0.259262383,1.7201
8,2.970269321,8,125,1.920120531,31,-0.394890338,1.8887
9,3.131782176,9,157,2.024529969,31,-0.493052155,1.993
10,3.23184122,10,125,1.951281485,31,-0.48296997,1.9828
11,3.161644757,11,125,2.043834533,31,-0.512606084,2.0125
12,3.250341428,12,18,2.101172195,31,-0.572114646,2.0697
13,3.305290021,13,125,2.86183883,31,-1.675281644,2.8305
14,4.034262212,14,657,2.607935129,31,-1.343824863,2.6394
15,3.790937832,15,28,0.718172833,31,-0.03132391,0.7497
16,1.979915632,16,154,1.648612379,31,-0.190628484,1.6175
17,2.871586863,17,38,1.744694805,31,-0.254420906,1.7133
18,2.963665854,18,177,2.385941023,31,-0.917758167,2.3548
19,3.57819348,19,358,2.072798536,31,-0.60949415,2.1041
20,3.278098597,20,739,1.316710546,31,-0.060651384,1.3483
21,2.553514273,21,51,0.35838294,31,-0.186207876,0.3897
22,1.635116984,22,57,1.265855579,31,-0.027500266,1.2345
23,2.504778263,23,381,1.906770649,31,-0.383045495,1.8753
24,3.118988539,24,187,1.193786705,31,-0.02539992,1.2254
25,2.435712259,25,226,1.38242511,31,-0.061672159,1.3512
26,2.616490731,26,221,1.372625237,31,-0.062889524,1.3547
27,2.607099186,27,48,1.381485249,31,-0.064835884,1.3601
28,2.61559003,28,720,2.042542966,31,-0.51115936,2.0111
29,3.249103676,29,33,0.492147785,31,-0.113430656,0.5237
30,1.763308294,30,143,1.442987435,31,-0.084778816,1.4118
31,2.674529626,31,306,1.663147133,31,-0.199696496,1.632
32,2.885516002,32,185,1.289327418,31,-0.051349189,1.3205
33,2.527272109,33,358,1.440251273,31,-0.083611257,1.4089
34,2.67190747,34,83,1.073222369,31,8.954393387,1.1046
35,2.320171437,35,125,1.651736529,31,-0.192482814,1.6205
36,2.87458084,36,125,1.858263038,31,-0.341722727,1.8267
37,3.072502078,37,125,1.986208551,31,-0.455778807,1.9548
38,3.195116528,38,125,2.065472246,31,-0.534643531,2.0341
39,3.271077569,39,125,2.114577004,31,-0.586828589,2.0834
40,3.318136295,40,125,2.144997958,31,-0.620353401,2.1139
41,3.347289709,41,221,2.163844083,31,-0.652897358,2.1427
42,3.36535058,42,221,1.783277832,31,-0.331783146,1.8146
43,3.000641255,43,221,1.590020684,31,-0.1929923,1.6213
44,2.815436489,44,221,1.491881859,31,-0.136987209,1.5234
45,2.721386781,45,221,1.442045518,31,-0.112155415,1.4736
46,2.673626954,46,221,1.41673789,31,-0.100341447,1.448
47,2.649373811,47,221,1.403886303,31,-0.094748639,1.4353
48,2.637057707,48,847,1.397360079,31,-0.091970362,1.4289
49,2.630803409,49,847,0.209606554,31,-0.28794992,0.2411
50,1.784206281,50,847,0.142154799,38,-0.341361254,0.1737
