Start concentration,Episode,Aeration_Time,Post_Aeration_Concentration,Input concentration,Reward,Average_predict_concentration
31.0,1,900,0.06628407335141971,,,
31.0,2,900,0.06954382505275186,,,
1.3583128323422204,3,358,0.0697041347714682,31.0,-0.403963178396225,tensor(0.1012)
1.3584664624893235,4,11,0.5456538491302813,31.0,-0.11798731237649918,tensor(0.5142)
1.8145849387498527,5,447,1.624269664798139,31.0,-0.17563743889331818,tensor(1.5927)
2.848258428764883,6,41,0.9439681393309166,31.0,9.754693984985352,tensor(0.9755)
2.1963028001921283,7,125,1.7515853780065307,31.0,-0.2592623829841614,tensor(1.7201)
2.970269320589592,8,125,1.920120531319962,31.0,-0.39489033818244934,tensor(1.8887)
3.131782175848297,9,157,2.0245299689775513,31.0,-0.4930521547794342,tensor(1.9930)
3.2318412202701534,10,125,1.951281485362464,31.0,-0.4829699695110321,tensor(1.9828)
3.1616447568056945,11,125,2.0438345331855947,31.0,-0.5126060843467712,tensor(2.0125)
3.2503414276361946,12,18,2.101172195309636,31.0,-0.5721146464347839,tensor(2.0697)
3.3052900205050677,13,125,2.8618388302330073,31.0,-1.6752816438674927,tensor(2.8305)
4.034262212306632,14,657,2.607935128603301,31.0,-1.343824863433838,tensor(2.6394)
3.790937831578163,15,28,0.7181728331802886,31.0,-0.031323909759521484,tensor(0.7497)
1.9799156317977764,16,154,1.6486123787907447,31.0,-0.19062848389148712,tensor(1.6175)
2.871586863007797,17,38,1.7446948046379458,31.0,-0.2544209063053131,tensor(1.7133)
2.963665854444698,18,177,2.3859410226445976,31.0,-0.9177581667900085,tensor(2.3548)
3.578193480034406,19,358,2.0727985355898433,31.0,-0.609494149684906,tensor(2.1041)
3.278098596606933,20,739,1.3167105456467638,31.0,-0.06065138429403305,tensor(1.3483)
2.5535142729114817,21,51,0.35838293973107255,31.0,-0.1862078756093979,tensor(0.3897)
1.6351169839089443,22,57,1.2658555790689021,31.0,-0.027500266209244728,tensor(1.2345)
2.5047782632743645,23,381,1.9067706492377292,31.0,-0.383045494556427,tensor(1.8753)
3.1189885388528236,24,187,1.1937867048640602,31.0,-0.025399919599294662,tensor(1.2254)
2.4357122588280573,25,226,1.3824251104874032,31.0,-0.0616721585392952,tensor(1.3512)
2.6164907308837613,26,221,1.3726252372209842,31.0,-0.06288952380418777,tensor(1.3547)
2.60709918567011,27,48,1.3814852488096043,31.0,-0.06483588367700577,tensor(1.3601)
2.615590030109204,28,720,2.042542965838633,31.0,-0.511159360408783,tensor(2.0111)
3.2491036755953564,29,33,0.49214778544542087,31.0,-0.11343065649271011,tensor(0.5237)
1.7633082943851948,30,143,1.4429874354724919,31.0,-0.0847788155078888,tensor(1.4118)
2.6745296256611377,31,306,1.663147132856812,31.0,-0.19969649612903595,tensor(1.6320)
2.8855160023211113,32,185,1.2893274183833394,31.0,-0.05134918913245201,tensor(1.3205)
2.5272721092840333,33,358,1.4402512731647255,31.0,-0.08361125737428665,tensor(1.4089)
2.671907470116195,34,83,1.0732223693746963,31.0,8.95439338684082,tensor(1.1046)
2.320171437317417,35,125,1.6517365292080963,31.0,-0.1924828141927719,tensor(1.6205)
2.874580840491092,36,125,1.8582630378010039,31.0,-0.3417227268218994,tensor(1.8267)
3.0725020778926284,37,125,1.9862085506488107,31.0,-0.4557788074016571,tensor(1.9548)
3.1951165277051103,38,125,2.065472245994361,31.0,-0.5346435308456421,tensor(2.0341)
3.2710775690779292,39,125,2.114577003636824,31.0,-0.5868285894393921,tensor(2.0834)
3.318136295151956,40,125,2.1449979575503786,31.0,-0.6203534007072449,tensor(2.1139)
3.3472897093191127,41,221,2.163844083291367,31.0,-0.6528973579406738,tensor(2.1427)
3.365350579820893,42,221,1.7832778317946583,31.0,-0.33178314566612244,tensor(1.8146)
3.0006412554698807,43,221,1.5900206843629094,31.0,-0.19299229979515076,tensor(1.6213)
2.8154364891811214,44,221,1.4918818586352693,31.0,-0.13698720932006836,tensor(1.5234)
2.721386781192133,45,221,1.4420455175571134,31.0,-0.11215541511774063,tensor(1.4736)
2.6736269543255666,46,221,1.4167378895755938,31.0,-0.10034144669771194,tensor(1.4480)
